incident_type,description,sub_description,,
411,Gasoline or other flammable liquid spill,Haz Mat,,
412,Gas leak (natural gas or LPG),Haz Mat,,
413,Oil or other combustible liquid spill,Haz Mat,,
42,"Chemical release, reaction, or toxic condition",Haz Mat,,
420,"Toxic condition, other",Haz Mat,,
421,Chemical hazard (no spill or leak),Haz Mat,,
422,Chemical spill or leak,Haz Mat,,
423,Refrigeration leak,Haz Mat,,
424,Carbon monoxide incident,Haz Mat,,
43,Radioactive condition,Haz Mat,,
430,"Radioactive condition, other",Haz Mat,,
431,"Radiation leak, radioactive material",Haz Mat,,
44,Electrical wiring/equipment problem,Fire,,
440,"Electrical  wiring/equipment problem, other",Fire,,
441,"Heat from short circuit (wiring), defective/worn",Fire,,
442,Overheated motor,Fire,,
443,Breakdown of light ballast,Fire,,
444,Power line down,Fire,,
445,"Arcing, shorted electrical equipment",Fire,,
45,Biological hazard,Haz Mat,,
451,"Biological hazard, confirmed or suspected",Haz Mat,,
46,"Accident, potential accident",Other,,
460,"Accident, potential accident, other",Other,,
461,Building or structure weakened or collapsed,Rescue,,
462,Aircraft standby,Other,,
463,"Vehicle accident, general cleanup",MVA,,
47,"Explosive, bomb removal",Haz Mat,,
471,"Explosive, bomb removal (for bomb scare, use 721)",Haz Mat,,
48,"Attempted burning, illegal action",Illeagal burn,,
480,"Attempted burning, illegal action, other",Illeagal burn,,
481,Attempt to burn,Illeagal burn,,
482,Threat to burn,Illeagal burn,,
5,Service Call,Other,,
50,"Service call, other",Other,,
500,"Service Call, other",Other,,
51,Person in distress,Other,,
510,"Person in distress, other",Other,,
511,Lock-out,Other,,
512,Ring or jewelry removal,Other,,
52,Water problem,Other,,
520,"Water problem, other",Other,,
521,Water evacuation,Other,,
522,Water or steam leak,Other,,
53,"Smoke, odor problem",Fire,,
531,Smoke or odor removal,Fire,,
54,Animal problem or rescue,Animal problem or rescue,,
540,"Animal problem, other",Animal problem or rescue,,
541,Animal problem,Animal problem or rescue,,
542,Animal rescue,Animal problem or rescue,,
55,Public service assistance,Other,,
550,"Public service assistance, other",Other,,
551,Assist police or other governmental agency,Assist police or other governmental agency,,
552,Police matter,Assist police or other governmental agency,,
553,Public service,Other,,
554,Assist invalid,Other,,
555,"Defective elevator, no occupants",Other,,
56,Unauthorized burning,Illeagal burn,,
561,Unauthorized burning,Illeagal burn,,
57,"Cover assignment, standby at fire station, move-up",Fire,,
571,"Cover assignment, standby, moveup",Fire,,
6,Good Intent Call,Other,,
60,"Good intent call, other",Other,,
600,"Good intent call, other",Other,,
61,Dispatched and canceled en route,Cancel,,
611,Dispatched & canceled en route,Cancel,,
62,"Wrong location, no emergency found",Cancel,,
621,Wrong location,Cancel,,
622,No incident found on arrival at dispatch address,Cancel,,
63,Controlled burning,Other,,
631,Authorized controlled burning,Other,,
632,Prescribed fire,Other,,
64,Vicinity alarm,Fire,,
641,Vicinity alarm (incident in other location),Fire,,
65,"Steam, other gas mistaken for smoke",Fire,,
650,"Steam, other gas mistaken for smoke, other",Fire,,
651,"Smoke scare, odor of smoke",Fire,,
652,"Steam, vapor, fog or dust thought to be smoke",Fire,,
653,"Smoke from barbecue, tar kettle",Fire,,
66,EMS call where  party has been transported,EMS,,
661,"EMS call, party transported by non-fire agency",EMS,,
67,HazMat release investigation w/no HazMat,Haz Mat,,
671,HazMat release investigation w/no HazMat,Haz Mat,,
672,"Biological hazard investigation, none found",Haz Mat,,
7,False Alarm & False Call,Fire,,
70,"False alarm and false call, other",Fire,,
700,"False alarm or false call, other",Fire,,
71,"Malicious, mischievous false alarm",Fire,,
710,"Malicious, mischievous false call, other",Fire,,
711,"Municipal alarm system, malicious false alarm",Fire,,
712,"Direct tie to FD, malicious false alarm",Fire,,
713,"Telephone, malicious false alarm",Fire,,
714,"Central station, malicious false alarm",Fire,,
715,"Local alarm system, malicious false alarm",Fire,,
72,Bomb scare,Fire,,
721,Bomb scare - no bomb,Fire,,
73,System or detector malfunction,Fire,,
730,"System malfunction, other",Fire,,
731,Sprinkler activation due to malfunction,Fire,,
732,Extinguishing system activation due to malfunction,Fire,,
733,Smoke detector activation due to malfunction,Fire,,
734,Heat detector activation due to malfunction,Fire,,
735,Alarm system sounded due to malfunction,Fire,,
736,CO detector activation due to malfunction,Fire,,
74,Unintentional system/detector operation (no fire),Fire,,
740,"Unintentional transmission of alarm, other",Fire,,
741,"Sprinkler activation, no fire - unintentional",Fire,,
742,Extinguishing system activation,Fire,,
743,"Smoke detector activation, no fire - unintentional",Fire,,
744,"Detector activation, no fire - unintentional",Fire,,
745,"Alarm system activation, no fire - unintentional",Fire,,
746,"Carbon monoxide detector activation, no CO",Fire,,
75,Biohazard scare,Haz Mat,,
751,"Biological hazard, malicious false report",Haz Mat,,
8,Severe Weather & Natural Disaster,Severe Weather & Natural Disaster,,
800,"Severe weather or natural disaster, other",Severe Weather & Natural Disaster,,
811,Earthquake assessment,Severe Weather & Natural Disaster,,
812,Flood assessment,Severe Weather & Natural Disaster,,
813,"Wind storm, tornado/hurricane assessment",Severe Weather & Natural Disaster,,
814,Lightning strike (no fire),Severe Weather & Natural Disaster,,
815,Severe weather or natural disaster standby,Severe Weather & Natural Disaster,,
9,Special Incident Type,Other,,
90,"Special type of incident, other",Other,,
900,"Special type of incident, other",Other,,
91,Citizen complaint,Other,,
911,Citizen complaint,Other,,
UUU,Undetermined incident type (conversion only),Other,,
