alarm_time,incident_type,description,response_time
2013-08-12 10:39:12 UTC,700,False alarm or false call  Other,5.48
2013-08-11 21:47:53 UTC,321,EMS call  excluding vehicle accident with injury,11.42
2013-08-11 17:32:17 UTC,321,EMS call  excluding vehicle accident with injury,3.12
2013-08-11 11:11:38 UTC,321,EMS call  excluding vehicle accident with injury,7.23
2013-08-11 03:55:01 UTC,311,Medical assist  assist EMS crew,3.42
2013-08-09 16:12:16 UTC,733,Smoke detector activation due to malfunction,8.5
2013-08-09 04:47:54 UTC,113,Cooking fire  confined to container,4.85
2013-08-08 08:57:35 UTC,553,Public service,3.03
2013-08-08 07:07:15 UTC,321,EMS call  excluding vehicle accident with injury,2.95
2013-08-07 14:51:49 UTC,321,EMS call  excluding vehicle accident with injury,5.12
2013-08-07 07:19:10 UTC,300,Rescue  EMS incident  other,3.85
2013-08-06 15:40:51 UTC,300,Rescue  EMS incident  other,0.23
2013-08-06 11:35:24 UTC,131,Passenger vehicle fire,0.18
2013-08-05 03:33:32 UTC,311,Medical assist  assist EMS crew,12.58
2013-08-04 22:43:30 UTC,311,Medical assist  assist EMS crew,9.95
2013-08-04 18:31:48 UTC,561,Unauthorized burning,3.25
2013-08-04 13:44:37 UTC,321,EMS call  excluding vehicle accident with injury,3.98
2013-08-04 13:20:56 UTC,321,EMS call  excluding vehicle accident with injury,4.95
2013-08-04 01:55:38 UTC,311,Medical assist  assist EMS crew,6.17
2013-08-03 09:49:55 UTC,311,Medical assist  assist EMS crew,13.53
2013-08-03 06:37:27 UTC,311,Medical assist  assist EMS crew,6.47
2013-08-02 22:58:50 UTC,324,Motor Vehicle Accident with no injuries,5.33
2013-08-02 16:37:39 UTC,321,EMS call  excluding vehicle accident with injury,5.52
2013-07-30 12:03:39 UTC,311,Medical assist  assist EMS crew,2.63
2013-07-29 21:45:02 UTC,622,No Incident found on arrival at dispatch address,2.28
2013-07-29 19:22:51 UTC,311,Medical assist  assist EMS crew,8.17
2013-07-29 17:19:36 UTC,111,Building fire,5.35
2013-07-29 13:12:42 UTC,324,Motor Vehicle Accident with no injuries,2.52
2013-07-27 17:53:21 UTC,700,False alarm or false call  Other,3.75
2013-07-27 16:54:46 UTC,311,Medical assist  assist EMS crew,3.77
2013-07-25 17:57:17 UTC,311,Medical assist  assist EMS crew,4.28
2013-07-24 14:50:51 UTC,321,EMS call  excluding vehicle accident with injury,3.25
2013-07-23 20:04:39 UTC,321,EMS call  excluding vehicle accident with injury,4.8
2013-07-23 18:31:37 UTC,311,Medical assist  assist EMS crew,7.93
2013-07-23 16:39:21 UTC,321,EMS call  excluding vehicle accident with injury,2.08
2013-07-22 16:52:13 UTC,700,False alarm or false call  Other,2.9
2013-07-22 16:47:46 UTC,413,Oil or other combustible liquid spill,11.57
2013-07-22 12:19:28 UTC,311,Medical assist  assist EMS crew,3.45
2013-07-22 11:30:49 UTC,300,Rescue  EMS incident  other,4.47
2013-07-22 03:40:52 UTC,300,Rescue  EMS incident  other,6.4
2013-07-21 20:36:08 UTC,300,Rescue  EMS incident  other,4.47
2013-07-21 09:26:34 UTC,311,Medical assist  assist EMS crew,3.52
2013-07-20 08:28:02 UTC,131,Passenger vehicle fire,6.8
2013-07-20 01:16:57 UTC,311,Medical assist  assist EMS crew,5.57
2013-07-20 00:28:20 UTC,400,Hazardous condition  Other,7.2
2013-07-19 05:26:03 UTC,111,Building fire,7.95
2013-07-18 17:41:26 UTC,111,Building fire,11.13
2013-07-18 12:09:46 UTC,441,Heat from short circuit (wiring)  defective/worn,4.27
2013-07-17 18:19:03 UTC,311,Medical assist  assist EMS crew,7.8
2013-07-16 21:32:05 UTC,500,Service Call  other,2.93
2013-07-16 12:31:21 UTC,553,Public service,5.5
2013-07-15 19:43:47 UTC,311,Medical assist  assist EMS crew,4.73
alarm_time,incident_type,description,response_time
2013-08-31 13:35:24 UTC,111,Building fire,5.35
2013-08-31 10:29:57 UTC,321,EMS call  excluding vehicle accident with injury,6.42
2013-08-30 11:45:00 UTC,311,Medical assist  assist EMS crew,6.33
2013-08-29 20:58:22 UTC,381,Rescue or EMS standby,4.58
2013-08-29 18:23:29 UTC,311,Medical assist  assist EMS crew,3.03
2013-08-26 18:48:24 UTC,311,Medical assist  assist EMS crew,7.25
2013-08-26 15:47:53 UTC,311,Medical assist  assist EMS crew,5.35
2013-08-24 22:30:50 UTC,311,Medical assist  assist EMS crew,5.08
2013-08-24 15:33:36 UTC,411,Gasoline or other flammable liquid spill,13.67
2013-08-23 23:23:08 UTC,321,EMS call  excluding vehicle accident with injury,5.92
2013-08-23 07:16:12 UTC,553,Public service,0.02
2013-08-22 17:12:11 UTC,322,Motor vehicle accident with injuries,4.27
2013-08-22 11:15:32 UTC,113,Cooking fire  confined to container,8.6
2013-08-21 21:29:21 UTC,311,Medical assist  assist EMS crew,9.05
2013-08-21 14:12:35 UTC,151,Outside rubbish  trash or waste fire,2.07
2013-08-21 08:20:45 UTC,322,Motor vehicle accident with injuries,0.48
2013-08-20 18:33:52 UTC,551,Assist police or other governmental agency,8.5
2013-08-20 11:31:36 UTC,311,Medical assist  assist EMS crew,2.73
2013-08-20 08:11:20 UTC,321,EMS call  excluding vehicle accident with injury,0.93
2013-08-18 10:09:27 UTC,321,EMS call  excluding vehicle accident with injury,6.13
2013-08-17 21:27:56 UTC,322,Motor vehicle accident with injuries,4.23
2013-08-17 15:24:50 UTC,554,Assist invalid,7.65
2013-08-17 12:53:04 UTC,322,Motor vehicle accident with injuries,8.37
2013-08-16 17:17:36 UTC,311,Medical assist  assist EMS crew,7.6
2013-08-15 19:05:42 UTC,311,Medical assist  assist EMS crew,4.52
2013-08-15 10:15:25 UTC,111,Building fire,8.5
2013-08-15 00:54:59 UTC,311,Medical assist  assist EMS crew,7.53
2013-08-13 22:15:29 UTC,311,Medical assist  assist EMS crew,6.37
2013-08-13 22:04:50 UTC,700,False alarm or false call  Other,7.45
2013-08-13 16:47:31 UTC,321,EMS call  excluding vehicle accident with injury,2.08
2013-08-13 14:41:13 UTC,311,Medical assist  assist EMS crew,5.85
2013-08-12 22:27:19 UTC,550,Public service assistance  Other,14.98
2013-08-12 14:48:42 UTC,700,False alarm or false call  Other,8.27
2013-08-12 13:06:24 UTC,311,Medical assist  assist EMS crew,2.02
2013-08-12 10:39:12 UTC,700,False alarm or false call  Other,5.48
2013-08-11 21:47:53 UTC,321,EMS call  excluding vehicle accident with injury,11.42
2013-08-11 17:32:17 UTC,321,EMS call  excluding vehicle accident with injury,3.12
2013-08-11 11:11:38 UTC,321,EMS call  excluding vehicle accident with injury,7.23
2013-08-11 03:55:01 UTC,311,Medical assist  assist EMS crew,3.42
2013-08-09 16:12:16 UTC,733,Smoke detector activation due to malfunction,8.5
2013-08-09 04:47:54 UTC,113,Cooking fire  confined to container,4.85
2013-08-08 08:57:35 UTC,553,Public service,3.03
2013-08-08 07:07:15 UTC,321,EMS call  excluding vehicle accident with injury,2.95
2013-08-07 14:51:49 UTC,321,EMS call  excluding vehicle accident with injury,5.12
2013-08-07 07:19:10 UTC,300,Rescue  EMS incident  other,3.85
2013-08-06 15:40:51 UTC,300,Rescue  EMS incident  other,0.23
2013-08-06 11:35:24 UTC,131,Passenger vehicle fire,0.18
2013-08-05 03:33:32 UTC,311,Medical assist  assist EMS crew,12.58
2013-08-04 22:43:30 UTC,311,Medical assist  assist EMS crew,9.95
2013-08-04 18:31:48 UTC,561,Unauthorized burning,3.25
2013-08-04 13:44:37 UTC,321,EMS call  excluding vehicle accident with injury,3.98
2013-08-04 13:20:56 UTC,321,EMS call  excluding vehicle accident with injury,4.95
2013-08-04 01:55:38 UTC,311,Medical assist  assist EMS crew,6.17
2013-08-03 09:49:55 UTC,311,Medical assist  assist EMS crew,13.53
2013-08-03 06:37:27 UTC,311,Medical assist  assist EMS crew,6.47
2013-08-02 22:58:50 UTC,324,Motor Vehicle Accident with no injuries,5.33
2013-08-02 16:37:39 UTC,321,EMS call  excluding vehicle accident with injury,5.52
2013-07-30 12:03:39 UTC,311,Medical assist  assist EMS crew,2.63
2013-07-29 21:45:02 UTC,622,No Incident found on arrival at dispatch address,2.28
2013-07-29 19:22:51 UTC,311,Medical assist  assist EMS crew,8.17
2013-07-29 17:19:36 UTC,111,Building fire,5.35
2013-07-29 13:12:42 UTC,324,Motor Vehicle Accident with no injuries,2.52
2013-07-27 17:53:21 UTC,700,False alarm or false call  Other,3.75
2013-07-27 16:54:46 UTC,311,Medical assist  assist EMS crew,3.77
2013-07-25 17:57:17 UTC,311,Medical assist  assist EMS crew,4.28
2013-07-24 14:50:51 UTC,321,EMS call  excluding vehicle accident with injury,3.25
2013-07-23 20:04:39 UTC,321,EMS call  excluding vehicle accident with injury,4.8
2013-07-23 18:31:37 UTC,311,Medical assist  assist EMS crew,7.93
2013-07-23 16:39:21 UTC,321,EMS call  excluding vehicle accident with injury,2.08
2013-07-22 16:52:13 UTC,700,False alarm or false call  Other,2.9
2013-07-22 16:47:46 UTC,413,Oil or other combustible liquid spill,11.57
2013-07-22 12:19:28 UTC,311,Medical assist  assist EMS crew,3.45
2013-07-22 11:30:49 UTC,300,Rescue  EMS incident  other,4.47
2013-07-22 03:40:52 UTC,300,Rescue  EMS incident  other,6.4
2013-07-21 20:36:08 UTC,300,Rescue  EMS incident  other,4.47
2013-07-21 09:26:34 UTC,311,Medical assist  assist EMS crew,3.52
2013-07-20 08:28:02 UTC,131,Passenger vehicle fire,6.8
2013-07-20 01:16:57 UTC,311,Medical assist  assist EMS crew,5.57
2013-07-20 00:28:20 UTC,400,Hazardous condition  Other,7.2
2013-07-19 05:26:03 UTC,111,Building fire,7.95
2013-07-18 17:41:26 UTC,111,Building fire,11.13
2013-07-18 12:09:46 UTC,441,Heat from short circuit (wiring)  defective/worn,4.27
2013-07-17 18:19:03 UTC,311,Medical assist  assist EMS crew,7.8
2013-07-16 21:32:05 UTC,500,Service Call  other,2.93
2013-07-16 12:31:21 UTC,553,Public service,5.5
2013-07-15 19:43:47 UTC,311,Medical assist  assist EMS crew,4.73
alarm_time,incident_type,description,response_time
2013-08-31 13:35:24 UTC,111,Building fire,5.35
2013-08-31 10:29:57 UTC,321,EMS call  excluding vehicle accident with injury,6.42
2013-08-30 11:45:00 UTC,311,Medical assist  assist EMS crew,6.33
2013-08-29 20:58:22 UTC,381,Rescue or EMS standby,4.58
2013-08-29 18:23:29 UTC,311,Medical assist  assist EMS crew,3.03
2013-08-26 18:48:24 UTC,311,Medical assist  assist EMS crew,7.25
2013-08-26 15:47:53 UTC,311,Medical assist  assist EMS crew,5.35
2013-08-24 22:30:50 UTC,311,Medical assist  assist EMS crew,5.08
2013-08-24 15:33:36 UTC,411,Gasoline or other flammable liquid spill,13.67
2013-08-23 23:23:08 UTC,321,EMS call  excluding vehicle accident with injury,5.92
2013-08-23 07:16:12 UTC,553,Public service,0.02
2013-08-22 17:12:11 UTC,322,Motor vehicle accident with injuries,4.27
2013-08-22 11:15:32 UTC,113,Cooking fire  confined to container,8.6
2013-08-21 21:29:21 UTC,311,Medical assist  assist EMS crew,9.05
2013-08-21 14:12:35 UTC,151,Outside rubbish  trash or waste fire,2.07
2013-08-21 08:20:45 UTC,322,Motor vehicle accident with injuries,0.48
2013-08-20 18:33:52 UTC,551,Assist police or other governmental agency,8.5
2013-08-20 11:31:36 UTC,311,Medical assist  assist EMS crew,2.73
2013-08-20 08:11:20 UTC,321,EMS call  excluding vehicle accident with injury,0.93
2013-08-18 10:09:27 UTC,321,EMS call  excluding vehicle accident with injury,6.13
2013-08-17 21:27:56 UTC,322,Motor vehicle accident with injuries,4.23
2013-08-17 15:24:50 UTC,554,Assist invalid,7.65
2013-08-17 12:53:04 UTC,322,Motor vehicle accident with injuries,8.37
2013-08-16 17:17:36 UTC,311,Medical assist  assist EMS crew,7.6
2013-08-15 19:05:42 UTC,311,Medical assist  assist EMS crew,4.52
2013-08-15 10:15:25 UTC,111,Building fire,8.5
2013-08-15 00:54:59 UTC,311,Medical assist  assist EMS crew,7.53
2013-08-13 22:15:29 UTC,311,Medical assist  assist EMS crew,6.37
2013-08-13 22:04:50 UTC,700,False alarm or false call  Other,7.45
2013-08-13 16:47:31 UTC,321,EMS call  excluding vehicle accident with injury,2.08
2013-08-13 14:41:13 UTC,311,Medical assist  assist EMS crew,5.85
2013-08-12 22:27:19 UTC,550,Public service assistance  Other,14.98
2013-08-12 14:48:42 UTC,700,False alarm or false call  Other,8.27
2013-08-12 13:06:24 UTC,311,Medical assist  assist EMS crew,2.02
2013-08-12 10:39:12 UTC,700,False alarm or false call  Other,5.48
2013-08-11 21:47:53 UTC,321,EMS call  excluding vehicle accident with injury,11.42
2013-08-11 17:32:17 UTC,321,EMS call  excluding vehicle accident with injury,3.12
2013-08-11 11:11:38 UTC,321,EMS call  excluding vehicle accident with injury,7.23
2013-08-11 03:55:01 UTC,311,Medical assist  assist EMS crew,3.42
2013-08-09 16:12:16 UTC,733,Smoke detector activation due to malfunction,8.5
2013-08-09 04:47:54 UTC,113,Cooking fire  confined to container,4.85
2013-08-08 08:57:35 UTC,553,Public service,3.03
2013-08-08 07:07:15 UTC,321,EMS call  excluding vehicle accident with injury,2.95
2013-08-07 14:51:49 UTC,321,EMS call  excluding vehicle accident with injury,5.12
2013-08-07 07:19:10 UTC,300,Rescue  EMS incident  other,3.85
2013-08-06 15:40:51 UTC,300,Rescue  EMS incident  other,0.23
2013-08-06 11:35:24 UTC,131,Passenger vehicle fire,0.18
2013-08-05 03:33:32 UTC,311,Medical assist  assist EMS crew,12.58
2013-08-04 22:43:30 UTC,311,Medical assist  assist EMS crew,9.95
2013-08-04 18:31:48 UTC,561,Unauthorized burning,3.25
2013-08-04 13:44:37 UTC,321,EMS call  excluding vehicle accident with injury,3.98
2013-08-04 13:20:56 UTC,321,EMS call  excluding vehicle accident with injury,4.95
2013-08-04 01:55:38 UTC,311,Medical assist  assist EMS crew,6.17
2013-08-03 09:49:55 UTC,311,Medical assist  assist EMS crew,13.53
2013-08-03 06:37:27 UTC,311,Medical assist  assist EMS crew,6.47
2013-08-02 22:58:50 UTC,324,Motor Vehicle Accident with no injuries,5.33
2013-08-02 16:37:39 UTC,321,EMS call  excluding vehicle accident with injury,5.52
2013-07-30 12:03:39 UTC,311,Medical assist  assist EMS crew,2.63
2013-07-29 21:45:02 UTC,622,No Incident found on arrival at dispatch address,2.28
2013-07-29 19:22:51 UTC,311,Medical assist  assist EMS crew,8.17
2013-07-29 17:19:36 UTC,111,Building fire,5.35
2013-07-29 13:12:42 UTC,324,Motor Vehicle Accident with no injuries,2.52
2013-07-27 17:53:21 UTC,700,False alarm or false call  Other,3.75
2013-07-27 16:54:46 UTC,311,Medical assist  assist EMS crew,3.77
2013-07-25 17:57:17 UTC,311,Medical assist  assist EMS crew,4.28
2013-07-24 14:50:51 UTC,321,EMS call  excluding vehicle accident with injury,3.25
2013-07-23 20:04:39 UTC,321,EMS call  excluding vehicle accident with injury,4.8
2013-07-23 18:31:37 UTC,311,Medical assist  assist EMS crew,7.93
2013-07-23 16:39:21 UTC,321,EMS call  excluding vehicle accident with injury,2.08
2013-07-22 16:52:13 UTC,700,False alarm or false call  Other,2.9
2013-07-22 16:47:46 UTC,413,Oil or other combustible liquid spill,11.57
2013-07-22 12:19:28 UTC,311,Medical assist  assist EMS crew,3.45
2013-07-22 11:30:49 UTC,300,Rescue  EMS incident  other,4.47
2013-07-22 03:40:52 UTC,300,Rescue  EMS incident  other,6.4
2013-07-21 20:36:08 UTC,300,Rescue  EMS incident  other,4.47
2013-07-21 09:26:34 UTC,311,Medical assist  assist EMS crew,3.52
2013-07-20 08:28:02 UTC,131,Passenger vehicle fire,6.8
2013-07-20 01:16:57 UTC,311,Medical assist  assist EMS crew,5.57
2013-07-20 00:28:20 UTC,400,Hazardous condition  Other,7.2
2013-07-19 05:26:03 UTC,111,Building fire,7.95
2013-07-18 17:41:26 UTC,111,Building fire,11.13
2013-07-18 12:09:46 UTC,441,Heat from short circuit (wiring)  defective/worn,4.27
2013-07-17 18:19:03 UTC,311,Medical assist  assist EMS crew,7.8
2013-07-16 21:32:05 UTC,500,Service Call  other,2.93
2013-07-16 12:31:21 UTC,553,Public service,5.5
2013-07-15 19:43:47 UTC,311,Medical assist  assist EMS crew,4.73
2013-07-15 17:47:52 UTC,511,Lock-out,0.4
2013-07-15 15:52:24 UTC,140,Natural vegetation fire  Other,5.0
2013-07-15 13:48:47 UTC,311,Medical assist  assist EMS crew,6.32
2013-07-14 22:04:26 UTC,322,Motor vehicle accident with injuries,6.78
2013-07-14 00:20:36 UTC,324,Motor Vehicle Accident with no injuries,6.68
2013-07-13 09:40:45 UTC,311,Medical assist  assist EMS crew,5.35
2013-07-13 08:31:34 UTC,300,Rescue  EMS incident  other,11.3
2013-07-12 19:34:32 UTC,631,Authorized controlled burning,2.55
2013-07-12 10:28:50 UTC,131,Passenger vehicle fire,1.32
2013-07-10 15:28:45 UTC,150,Outside rubbish fire  Other,3.52
2013-07-10 14:46:31 UTC,700,False alarm or false call  Other,12.58
2013-07-10 13:01:47 UTC,400,Hazardous condition  Other,0.4
2013-07-09 14:56:42 UTC,311,Medical assist  assist EMS crew,7.73
2013-07-08 20:39:42 UTC,322,Motor vehicle accident with injuries,5.23
2013-07-08 19:22:29 UTC,321,EMS call  excluding vehicle accident with injury,1.9
2013-07-08 14:09:43 UTC,321,EMS call  excluding vehicle accident with injury,2.53
2013-07-08 12:16:55 UTC,321,EMS call  excluding vehicle accident with injury,6.52
2013-07-07 10:44:03 UTC,300,Rescue  EMS incident  other,8.68
2013-07-06 21:18:51 UTC,321,EMS call  excluding vehicle accident with injury,5.65
2013-07-06 18:26:42 UTC,321,EMS call  excluding vehicle accident with injury,4.0
2013-07-06 12:54:35 UTC,322,Motor vehicle accident with injuries,15.45
2013-07-06 02:53:43 UTC,622,No Incident found on arrival at dispatch address,3.73
2013-07-05 07:56:45 UTC,321,EMS call  excluding vehicle accident with injury,5.52
2013-07-04 13:04:56 UTC,311,Medical assist  assist EMS crew,6.65
2013-07-04 12:44:48 UTC,311,Medical assist  assist EMS crew,4.02
2013-07-03 07:53:32 UTC,311,Medical assist  assist EMS crew,5.37
2013-07-02 23:00:16 UTC,561,Unauthorized burning,14.1
2013-06-30 23:04:51 UTC,553,Public service,9.32
2013-06-30 20:14:59 UTC,321,EMS call  excluding vehicle accident with injury,8.08
2013-06-30 14:35:39 UTC,321,EMS call  excluding vehicle accident with injury,6.77
2013-06-30 13:33:21 UTC,153,Construction or demolition landfill fire,7.65
2013-06-29 18:01:03 UTC,321,EMS call  excluding vehicle accident with injury,11.12
2013-06-29 17:08:01 UTC,321,EMS call  excluding vehicle accident with injury,3.8
2013-06-28 15:41:27 UTC,321,EMS call  excluding vehicle accident with injury,4.23
2013-06-28 14:51:07 UTC,311,Medical assist  assist EMS crew,6.2
2013-06-28 10:51:13 UTC,311,Medical assist  assist EMS crew,8.53
2013-06-27 20:05:05 UTC,311,Medical assist  assist EMS crew,2.28
2013-06-27 15:03:36 UTC,733,Smoke detector activation due to malfunction,11.2
2013-06-26 22:25:51 UTC,553,Public service,0.4
2013-06-26 19:17:16 UTC,553,Public service,4.53
2013-06-26 17:23:51 UTC,814,Lightning strike (no fire),7.52
2013-06-26 16:23:31 UTC,553,Public service,4.35
2013-06-26 14:50:17 UTC,400,Hazardous condition  Other,2.07
2013-06-26 13:32:27 UTC,321,EMS call  excluding vehicle accident with injury,3.18
2013-06-26 02:19:32 UTC,700,False alarm or false call  Other,7.82
2013-06-25 21:31:58 UTC,700,False alarm or false call  Other,10.25
2013-06-23 21:26:32 UTC,321,EMS call  excluding vehicle accident with injury,6.18
2013-06-23 15:40:20 UTC,322,Motor vehicle accident with injuries,6.1
2013-06-22 23:21:28 UTC,322,Motor vehicle accident with injuries,5.25
2013-06-21 18:29:13 UTC,321,EMS call  excluding vehicle accident with injury,7.3
2013-06-19 09:23:26 UTC,311,Medical assist  assist EMS crew,3.65
2013-06-18 19:53:35 UTC,814,Lightning strike (no fire),10.13
2013-06-18 09:27:38 UTC,322,Motor vehicle accident with injuries,4.43
2013-06-17 13:31:48 UTC,143,Grass fire,4.28
2013-06-17 06:48:14 UTC,324,Motor Vehicle Accident with no injuries,0.22
2013-06-17 03:50:09 UTC,311,Medical assist  assist EMS crew,8.65
2013-06-17 00:04:04 UTC,622,No Incident found on arrival at dispatch address,5.1
2013-06-16 19:16:29 UTC,321,EMS call  excluding vehicle accident with injury,0.12
2013-06-15 20:24:58 UTC,321,EMS call  excluding vehicle accident with injury,0.33
2013-06-15 15:07:32 UTC,412,Gas leak (natural gas or LPG),8.25
2013-06-13 20:56:00 UTC,311,Medical assist  assist EMS crew,6.05
2013-06-12 09:17:59 UTC,553,Public service,2.77
2013-06-11 22:12:13 UTC,311,Medical assist  assist EMS crew,6.15
2013-06-11 22:05:18 UTC,311,Medical assist  assist EMS crew,9.05
2013-06-11 18:59:14 UTC,322,Motor vehicle accident with injuries,3.08
2013-06-10 17:05:55 UTC,322,Motor vehicle accident with injuries,5.68
2013-06-09 22:21:33 UTC,321,EMS call  excluding vehicle accident with injury,4.8
2013-06-09 12:54:59 UTC,321,EMS call  excluding vehicle accident with injury,8.98
2013-06-08 15:56:30 UTC,311,Medical assist  assist EMS crew,7.87
2013-06-08 13:48:02 UTC,311,Medical assist  assist EMS crew,11.75
2013-06-07 07:24:24 UTC,311,Medical assist  assist EMS crew,5.07
2013-06-06 19:00:42 UTC,311,Medical assist  assist EMS crew,6.63
2013-06-06 17:43:25 UTC,510,Person in distress  Other,1.05
2013-06-06 17:04:58 UTC,322,Motor vehicle accident with injuries,2.85
2013-06-06 15:11:40 UTC,150,Outside rubbish fire  Other,7.37
2013-06-06 10:53:39 UTC,150,Outside rubbish fire  Other,2.02
2013-06-06 06:12:51 UTC,700,False alarm or false call  Other,8.27
2013-06-05 16:49:11 UTC,311,Medical assist  assist EMS crew,3.52
2013-06-05 08:44:35 UTC,321,EMS call  excluding vehicle accident with injury,4.0
2013-06-04 00:49:08 UTC,400,Hazardous condition  Other,11.33
2013-06-02 15:27:06 UTC,131,Passenger vehicle fire,1.72
2013-06-02 09:23:51 UTC,311,Medical assist  assist EMS crew,1.35
2013-06-02 04:53:52 UTC,311,Medical assist  assist EMS crew,5.68
2013-06-01 13:23:37 UTC,413,Oil or other combustible liquid spill,12.33
2013-06-01 12:00:58 UTC,324,Motor Vehicle Accident with no injuries,4.75
2013-06-01 07:49:10 UTC,444,Power line down,7.33
2013-06-01 03:50:10 UTC,311,Medical assist  assist EMS crew,8.43
2013-05-31 16:23:56 UTC,322,Motor vehicle accident with injuries,3.62
2013-05-30 11:02:29 UTC,154,Dumpster or other outside trash receptacle fire,1.2
2013-05-29 16:29:35 UTC,111,Building fire,10.42
2013-05-29 00:22:21 UTC,311,Medical assist  assist EMS crew,8.68
2013-05-28 17:28:24 UTC,321,EMS call  excluding vehicle accident with injury,1.68
2013-05-28 13:03:15 UTC,510,Person in distress  Other,0.4
2013-05-27 21:40:35 UTC,561,Unauthorized burning,8.48
2013-05-27 15:05:50 UTC,100,Fire  Other,14.63
2013-05-26 23:01:49 UTC,322,Motor vehicle accident with injuries,10.43
2013-05-26 16:55:36 UTC,311,Medical assist  assist EMS crew,3.5
2013-05-26 07:07:59 UTC,311,Medical assist  assist EMS crew,15.4
2013-05-25 16:53:55 UTC,311,Medical assist  assist EMS crew,7.83
2013-05-24 17:36:14 UTC,311,Medical assist  assist EMS crew,2.03
2013-05-24 10:34:41 UTC,311,Medical assist  assist EMS crew,1.4
2013-05-23 15:27:12 UTC,500,Service Call  other,0.4
2013-05-22 14:35:05 UTC,745,Alarm system activation  no fire - unintentional,3.42
2013-05-22 07:22:24 UTC,733,Smoke detector activation due to malfunction,3.55
2013-05-21 05:49:42 UTC,311,Medical assist  assist EMS crew,16.38
2013-05-18 13:10:14 UTC,131,Passenger vehicle fire,5.62
2013-05-17 15:14:23 UTC,311,Medical assist  assist EMS crew,3.0
2013-05-16 15:07:53 UTC,600,Good intent call  Other,2.08
2013-05-15 10:24:11 UTC,311,Medical assist  assist EMS crew,2.57
2013-05-14 20:52:37 UTC,311,Medical assist  assist EMS crew,6.6
2013-05-14 16:38:50 UTC,142,Brush or brush-and-grass mixture fire,2.58
2013-05-14 14:28:23 UTC,322,Motor vehicle accident with injuries,2.13
2013-05-13 11:01:46 UTC,311,Medical assist  assist EMS crew,2.02
2013-05-13 09:33:36 UTC,311,Medical assist  assist EMS crew,8.9
2013-05-12 21:03:25 UTC,311,Medical assist  assist EMS crew,5.13
2013-05-12 08:06:54 UTC,463,Vehicle accident  general cleanup,8.23
2013-05-11 18:41:35 UTC,150,Outside rubbish fire  Other,0.4
2013-05-11 18:06:30 UTC,311,Medical assist  assist EMS crew,9.88
2013-05-10 19:11:57 UTC,553,Public service,5.7
2013-05-10 18:35:20 UTC,352,Extrication of victim(s) from vehicle,9.43
2013-05-10 07:57:13 UTC,322,Motor vehicle accident with injuries,2.68
2013-05-09 19:26:41 UTC,322,Motor vehicle accident with injuries,4.38
2013-05-07 20:02:19 UTC,311,Medical assist  assist EMS crew,4.17
2013-05-07 17:44:12 UTC,322,Motor vehicle accident with injuries,8.25
